"","source","found_taxa"
"1141","eDNA, top 500","Stichaeopsis nana"
"1142","eDNA, top 500","Stichaeopsis nevelskoi"
"1143","eDNA, top 500","Stichaeus fuscus"
"1144","eDNA, top 500","Stichaeus grigorjewi"
"1145","eDNA, top 500","Stichaeus nozawae"
"1146","eDNA, top 500","Stlengis misakia"
"1147","eDNA, top 500","Stomias nebulosus"
"1148","eDNA, top 500","Stromateus brasiliensis"
"1149","eDNA, top 500","Strongylura notata"
"1150","eDNA, top 500","Symphodus cinereus"
"1151","eDNA, top 500","Symphodus mediterraneus"
"1152","eDNA, top 500","Symphodus melops"
"1153","eDNA, top 500","Symphodus ocellatus"
"1154","eDNA, top 500","Symphodus roissali"
"1155","eDNA, top 500","Symphodus tinca"
"1156","eDNA, top 500","Synchiropus splendidus"
"1157","eDNA, top 500","Syncrossus beauforti"
"1158","eDNA, top 500","Syncrossus hymenophysa"
"1159","eDNA, top 500","Syncrossus reversus"
"1160","eDNA, top 500","Tachysurus aurantiacus"
"1161","eDNA, top 500","Tachysurus eupogon"
"1162","eDNA, top 500","Tachysurus fulvidraco"
"1163","eDNA, top 500","Tachysurus fulvidraco x Tachysurus vachelli"
"1164","eDNA, top 500","Tachysurus nudiceps"
"1165","eDNA, top 500","Tachysurus tokiensis"
"1166","eDNA, top 500","Tachysurus virgatus"
"1167","eDNA, top 500","Taeniopsetta ocellata"
"1168","eDNA, top 500","Tampichthys ipni"
"1169","eDNA, top 500","Taractes rubescens"
"1170","eDNA, top 500","Taurocottus bergii"
"1171","eDNA, top 500","Taurulus bubalis"
"1172","eDNA, top 500","Tautoga onitis"
"1173","eDNA, top 500","Telmatherina bonti"
"1174","eDNA, top 500","Tenualosa ilisha"
"1175","eDNA, top 500","Tenualosa toli"
"1176","eDNA, top 500","Tetragonurus pacificus"
"1177","eDNA, top 500","Tetrapturus belone"
"1178","eDNA, top 500","Tetrapturus georgii"
"1179","eDNA, top 500","Tetrapturus pfluegeri"
"1180","eDNA, top 500","Tetrosomus concatenatus"
"1181","eDNA, top 500","Thoburnia rhothoeca"
"1182","eDNA, top 500","Thorichthys meeki"
"1183","eDNA, top 500","Thryssa baelama"
"1184","eDNA, top 500","Thryssa dussumieri"
"1185","eDNA, top 500","Thryssa hamiltonii"
"1186","eDNA, top 500","Thryssa kammalensis"
"1187","eDNA, top 500","Thryssa kammalensoides"
"1188","eDNA, top 500","Thryssa malabarica"
"1189","eDNA, top 500","Thryssa setirostris"
"1190","eDNA, top 500","Thymallus aeliani"
"1191","eDNA, top 500","Thymallus arcticus"
"1192","eDNA, top 500","Thymallus arcticus arcticus"
"1193","eDNA, top 500","Thymallus baicalensis"
"1194","eDNA, top 500","Thymallus baicalolenensis"
"1195","eDNA, top 500","Thymallus brevirostris"
"1196","eDNA, top 500","Thymallus burejensis"
"1197","eDNA, top 500","Thymallus flavomaculatus"
"1198","eDNA, top 500","Thymallus grubii"
"1199","eDNA, top 500","Thymallus ligericus"
"1200","eDNA, top 500","Thymallus mertensii"
"1201","eDNA, top 500","Thymallus nigrescens"
"1202","eDNA, top 500","Thymallus nikolskyi"
"1203","eDNA, top 500","Thymallus pallasii"
"1204","eDNA, top 500","Thymallus svetovidovi"
"1205","eDNA, top 500","Thymallus thymallus"
"1206","eDNA, top 500","Thymallus tugarinae"
"1207","eDNA, top 500","Thymallus yaluensis"
"1208","eDNA, top 500","Tilesina gibbosa"
"1209","eDNA, top 500","Tomiyamichthys emilyae"
"1210","eDNA, top 500","Trachyrincus murrayi"
"1211","eDNA, top 500","Tribolodon brandtii"
"1212","eDNA, top 500","Tribolodon brandtii brandtii"
"1213","eDNA, top 500","Tribolodon brandtii maruta"
"1214","eDNA, top 500","Tribolodon ezoe"
"1215","eDNA, top 500","Tribolodon sachalinensis"
"1216","eDNA, top 500","Trichocottus brashnikovi"
"1217","eDNA, top 500","Trichogaster fasciata"
"1218","eDNA, top 500","Trichogaster lalius"
"1219","eDNA, top 500","Tridentiger microsquamis"
"1220","eDNA, top 500","Tridentiger radiatus"
"1221","eDNA, top 500","Triglops jordani"
"1222","eDNA, top 500","Triglops murrayi"
"1223","eDNA, top 500","Triglops nybelini"
"1224","eDNA, top 500","Triplophysa labiata"
"1225","eDNA, top 500","Triportheus auritus"
"1226","eDNA, top 500","Trisopterus luscus"
"1227","eDNA, top 500","Trisopterus minutus"
"1228","eDNA, top 500","Tylosurus acus"
"1229","eDNA, top 500","Tylosurus melanotus"
"1230","eDNA, top 500","Uaru amphiacanthoides"
"1231","eDNA, top 500","Ulvaria subbifurcata"
"1232","eDNA, top 500","Upeneus taeniopterus"
"1233","eDNA, top 500","Valenciennea longipinnis"
"1234","eDNA, top 500","Valenciennea puellaris"
"1235","eDNA, top 500","Vellitor centropomus"
"1236","eDNA, top 500","Vellitor minutus"
"1237","eDNA, top 500","Verasper moseri"
"1238","eDNA, top 500","Verasper variegatus"
"1239","eDNA, top 500","Vimba melanops"
"1240","eDNA, top 500","Xanthichthys lineopunctatus"
"1241","eDNA, top 500","Xanthichthys ringens"
"1242","eDNA, top 500","Xeniamia atrithorax"
"1243","eDNA, top 500","Xenobalistes tumidipectoris"
"1244","eDNA, top 500","Xenodermichthys copei"
"1245","eDNA, top 500","Xenolumpenus longipterus"
"1246","eDNA, top 500","Xenophthalmichthys danae"
"1247","eDNA, top 500","Yaoshania pachychilus"
"1248","eDNA, top 500","Yasuhikotakia lecontei"
"1249","eDNA, top 500","Yunnanilus bailianensis"
"1250","eDNA, top 500","Yunnanilus brevis"
"1251","eDNA, top 500","Yunnanilus longibarbatus"
"1252","eDNA, top 500","Yuriria alta"
"1253","eDNA, top 500","Zacco acanthogenys"
"1254","eDNA, top 500","Zacco platypus"
"1255","eDNA, top 500","Zenion hololepis"
"1256","eDNA, top 500","Zenion japonicum"
"1257","eDNA, top 500","Zesticelus bathybius"
"1258","eDNA, top 500","Zesticelus ochotensis"
"1259","eDNA, top 500","Zoarces americanus"
"1260","eDNA, top 500","Zoarces elongatus"
"1261","eDNA, top 500","Zoarces gillii"
"1262","eDNA, top 500","Zoarces viviparus"
"1263","eDNA, top 500","Zoarchias glaber"
"1264","eDNA, top 500","Zoarchias major"
"1265","eDNA, top 500","Zoarchias neglectus"
"1266","eDNA, top 500","Zoarchias veneficus"
